sku,descripcion,S_actual,en_inventario_marzo2026,costo_actual,nivel_servicio_actual,s_opt,S_opt,costo_opt,nivel_servicio_opt,ahorro_costo_pct,mejora_servicio_pp
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,0,FALSE,490477.1416275086,0,24,28,101915.92097712985,0.9515371528423903,0.7922106611554803,95.15371528423903
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,7,TRUE,89853.26923516023,0.5910140060062159,36,37,124824.76947851441,0.9520088910156661,-0.3892067649962544,36.09948850094502
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,0,FALSE,605506.7532332985,0,2256,2303,230238.43437861695,0.9213292512093715,0.6197590974019949,92.13292512093714
541-120-005-030,CINTA TUBULAR EE 5t X 3m,0,FALSE,144491.61974989696,0,32,37,38178.4691933595,0.9550150292413827,0.7357738167829853,95.50150292413826
271-190-040-000,ANCLAJE SOLDABLE 8t,99,TRUE,54564.43238814175,0.7790258672185858,64,70,43325.27650336822,0.9519829518048135,0.2059795253586489,17.295708458622773
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,5,TRUE,57062.86262543444,0.5858104131091959,18,20,100606.45494857366,0.9504698016658149,-0.7630811059894265,36.465938855661896
901-170-060-000,WINCHE DE PALANCA 6t,1,TRUE,77401.16183159305,0.2765346579580271,6,8,43928.643619905764,0.9553527606161136,0.432454984132095,67.88181026580865
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,20,TRUE,38943.72110256421,0.7419926386990183,24,25,41971.45367620784,0.9518443115561963,-0.07774636033546045,20.9851672857178
541-120-003-020,CINTA TUBULAR EE 3t X 2m,0,FALSE,110440.76139531695,0,96,98,45936.73663930442,0.9527379096964051,0.5840599425525846,95.27379096964052
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,0,FALSE,82979.63966773612,0,3,6,25803.55896722821,0.9540120474068418,0.6890374666538704,95.40120474068418
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",52,TRUE,24139.123075298172,0.764982028535502,35,41,19185.84984710741,0.9526010927551952,0.2051969001831513,18.76190642196932
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,4,TRUE,22933.192754560925,0.4521543741602677,18,25,22084.115088651168,0.9549015912763616,0.03702396238486653,50.274721711609395
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,0,FALSE,61433.95300731889,0,16,17,129659.87733319725,0.9502887695690394,-1.1105572893502442,95.02887695690394
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,0,FALSE,58861.51254660079,0,20,37,15370.347502036884,0.9536990124901531,0.7388727058301782,95.36990124901531
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,0,FALSE,57726.569477612284,0,2,3,15863.645981330808,0.9688091768644711,0.725193336016908,96.8809176864471
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,0,FALSE,56728.3503612167,0,48,53,21939.364666239755,0.9526647374170178,0.6132557261661715,95.26647374170179
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,43,TRUE,33149.41665828173,0.8888781928923253,10,15,20116.964578087245,0.9523544310317342,0.39314272750373064,6.347623813940895
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,1,TRUE,17096.650139666694,0.16899403663325296,36,62,14627.187910327213,0.9600484750021206,0.1444412916662529,79.10544383688676
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,0,FALSE,55718.45509362169,0,33,34,22507.034969826014,0.9508185231326052,0.5960578064842561,95.08185231326051
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,0,FALSE,50168.15947368421,0,0,1,15308.391987117551,1,0.6948584092436639,100
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,61,TRUE,71309.32298236199,0.9196142970884561,11,14,30431.599948203537,0.9511643597014717,0.5732451427742394,3.155006261301563
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",0,FALSE,43350.76614035088,0,22,33,18221.248601083666,0.9543523241799123,0.5796787410379045,95.43523241799123
901-170-030-000,"WINCHE DE PALANCA 1,5t",0,FALSE,42381.57400604102,0,10,11,35540.86373754872,0.9505296770919995,0.161407650115053,95.05296770919995
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,94,TRUE,295862.8740250668,0.7913351330952941,9,10,53538.24530018053,0.9526612400735351,0.8190437192344567,16.132610697824102
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,0,FALSE,40078.76282880421,0,54,74,15349.823805362816,0.9517299041781894,0.6170085421316686,95.17299041781894
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,0,FALSE,32732.037436668594,0,36,45,13204.106847384648,0.9528781730537652,0.5965999100137734,95.28781730537652
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,0,FALSE,37997.17833255106,0,33,37,15406.451207050595,0.9518817598237241,0.5945369660817066,95.18817598237241
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,171,TRUE,14633.277975217543,0.8139369897353171,90,120,14358.37608015429,0.9500741912546031,0.01878607756435829,13.613720151928598
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,0,FALSE,35022.89521148049,0,21,37,12046.74547427002,0.9547713115568912,0.656032278270327,95.47713115568912
901-140-020-000,WINCHE MANUAL 1t,5,TRUE,14764.389583011402,0.7480939928920158,5,9,16254.600526822724,0.951767062763959,-0.10093278394157444,20.36730698719431
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",0,FALSE,29292.00824561403,0,24,33,18612.614591777034,0.9529847564589403,0.36458386752762334,95.29847564589403
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,0,FALSE,29311.111121998503,0,9,13,15072.152430411361,0.9518486437554374,0.4857870666288237,95.18486437554374
