sku,p_venta,n_pos,dist_ganadora,aic_normal,aic_gamma,aic_lnorm,par1,par2,descripcion,monto_total
739-120-035-000,0.6666666666666666,12,gamma,97.73387888754199,94.4839930038165,96.9357897216317,1.6346612586244191,0.09615787464310205,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,41921221
739-110-014-000,0.6111111111111112,11,lnorm,111.09030012134644,90.99982684925773,88.75743116106915,2.14613698546475,1.3331372360218838,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,39622271
424-100-010-010,0.8888888888888888,16,lnorm,224.47328452925655,NA,200.46753865132132,3.902668704015323,2.2659709569275277,CINTA PLANA EE2-601 X 1m TIPO 3,18411483
541-120-005-030,0.4444444444444444,8,lnorm,75.10088417313042,71.56596443936677,71.20487564886909,3.122932631538255,0.7106562524033146,CINTA TUBULAR EE 5t X 3m,12204912
271-190-040-000,0.5,9,lnorm,105.3885464848765,88.74579676116464,85.54981096231361,2.913755722311428,1.2187805356955916,ANCLAJE SOLDABLE 8t,11643878
739-110-015-000,0.3333333333333333,6,lnorm,45.73877480802571,39.59526631518964,38.539087384537844,1.453871879137918,1.0054617308670306,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,11078243
901-170-060-000,0.4444444444444444,8,gamma,40.49853097230362,38.41935449548126,38.41940670786046,2.627092284657408,0.6780315166593593,WINCHE DE PALANCA 6t,8733433
739-120-020-000,0.6666666666666666,12,lnorm,96.99166852506585,80.65276683147064,78.00640037259208,1.5517268968198479,1.1195586951811074,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,8307389
541-120-003-020,0.5,9,lnorm,99.2060036077112,84.1158817223039,83.04633842925328,2.4689317503505763,1.6546557191636786,CINTA TUBULAR EE 3t X 2m,7405061
613-460-080-000,0.6666666666666666,12,lnorm,49.4434914532779,43.510883251981596,42.188350387433715,0.7495970825259292,0.561381623133856,MOSQUETON DE SEGURO GIRATORIO G8 16mm,7056338
271-190-030-000,0.7777777777777778,14,lnorm,142.29885164985075,119.75097860809313,116.94364525873807,2.4133786908504433,1.2230948297436528,"ANCLAJE SOLDABLE 5,3t",6038172
910-100-030-000,0.3888888888888889,7,normal,53.083652206840945,54.070933925919846,55.0019689264718,18.857142857142858,8.060991988380504,TENSOR CHICHARRA 1/2 - 5/8,5593872
613-460-100-000,0.4444444444444444,8,lnorm,28.07781858668804,24.481476059706207,23.247709233554605,0.3972567287934932,0.5416076487908398,MOSQUETON DE SEGURO GIRATORIO G8 20mm,5267598
424-100-020-060,0.9444444444444444,17,gamma,133.7436426327319,128.14952853645497,129.57684125611016,1.7245510402022548,0.11276063638705368,CINTA PLANA EE2-602 X 6m TIPO 3,4874975
739-120-030-000,0.6111111111111112,11,gamma,30.101018472088292,28.613662271313167,28.671588034097397,7.244177643818542,3.4644388537317066,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,4837522
262-170-070-000,0.3333333333333333,6,gamma,64.67887338806707,60.50804033582865,61.07454016071037,0.8536799216683321,0.020732738486964792,CUERDA G8 TRENZADO CORTO 13mm,4801276.806451613
264-290-100-000,0.5,9,gamma,56.54681912469454,55.91629021876457,56.81123692733275,2.4618896416312683,0.3120126943052734,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,4475410
928-110-040-000,0.7777777777777778,14,gamma,123.91079994991419,121.94556238882141,123.23418826758703,2.3780768769939398,0.08079988878218249,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,4253391
910-100-020-000,0.4444444444444444,8,lnorm,74.37428910586246,66.87822621290292,66.59625495684058,2.31200506296519,1.1988015370691414,TENSOR CHICHARRA 3/8 - 1/2,4251503
397-490-040-060,0.2777777777777778,5,constante,NA,NA,NA,1,0,CINTA G8 QOSH4A 13mm X 6m,4250021
264-290-180-000,0.2777777777777778,5,lnorm,37.31517069407915,33.276251172676005,31.863250361998325,1.7414965835718739,0.6879011831019666,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,4056245
541-120-004-015,0.2777777777777778,5,normal,41.011126289385906,42.33267149095652,43.26659433647083,28,9.797958971132712,"CINTA TUBULAR EE 4t X 1,5m",3665673
901-170-030-000,0.6666666666666666,12,lnorm,48.078384828998004,42.19131531471072,40.47836070907929,0.5570509773056606,0.6337771946552918,"WINCHE DE PALANCA 1,5t",3566611
264-240-160-000,0.2777777777777778,5,lnorm,25.316960703412587,22.671557392770957,22.064171906015005,0.7327123292259293,0.7080548816562013,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,3541564
424-100-020-020,0.9444444444444444,17,gamma,157.36631319504468,147.09634532710982,148.96033739255967,0.9549379064755904,0.03855435707655143,CINTA PLANA EE2-602 X 2m TIPO 3,3264444
433-100-020-010,0.7777777777777778,14,lnorm,142.79528567108972,113.9034008037094,108.08833069841945,2.044446647032424,1.2892429708997282,CINTA PLANA EE3-602 X 1m TIPO 3,3037963
613-200-060-000,0.5,9,lnorm,85.4728109169547,76.28203197479128,75.13907993570015,2.3423279411074245,1.2103440199735467,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,3007261
631-130-080-000,0.9444444444444444,17,lnorm,186.4283128684742,159.96669082491655,156.11331582443952,2.8652682400670333,1.208904140686002,CONECTOR RAPIDO OVALADO ROSCADO 5/8,2871888
