sku,descripcion,s_demo,S_demo,p_quiebre_analitico,p_quiebre_mc,diferencia
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,24,35,0.08463995745950655,0.082,0.0026399574595065423
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,30,43,0.08777475168460674,0.079,0.008774751684606744
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,1018,1592,0.08103972111307384,0.060333333333333336,0.0207063877797405
541-120-005-030,CINTA TUBULAR EE 5t X 3m,31,44,0.08747189577283766,0.08966666666666667,0.0021947708938290095
271-190-040-000,ANCLAJE SOLDABLE 8t,50,69,0.07737670531068513,0.085,0.007623294689314872
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,7,9,0.0895397425971946,0.08533333333333333,0.004206409263861274
901-170-060-000,WINCHE DE PALANCA 6t,4,6,0.10446255349572212,0.10433333333333333,1.292201623887823e-4
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,14,20,0.0918035293823913,0.07933333333333334,0.012470196049057955
541-120-003-020,CINTA TUBULAR EE 3t X 2m,49,72,0.08911218941469301,0.07166666666666667,0.01744552274802634
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,3,5,0.07638345938823585,0.07666666666666666,2.832072784308137e-4
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",40,58,0.08461945114082539,0.078,0.0066194511408253914
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,19,26,0.08751817376884086,0.08266666666666667,0.004851507102174191
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,2,3,0.08488596558152853,0.07633333333333334,0.008552632248195191
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,25,39,0.07130784998838774,0.06433333333333334,0.0069745166550544
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,2,3,0.16484757598653677,0.16433333333333333,5.142426532034339e-4
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,44,58,0.09308439138238614,0.09133333333333334,0.0017510580490528033
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,9,13,0.0906072450031087,0.09566666666666666,0.005059421663557967
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,41,64,0.06803902531232316,0.06133333333333333,0.0067056919789898264
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,25,34,0.07831266991851313,0.06733333333333333,0.0109793365851798
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,1,2,0,0,0
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,6,8,0.09658853651047042,0.087,0.009588536510470425
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",23,31,0.11246333202655606,0.111,0.0014633320265560606
901-170-030-000,"WINCHE DE PALANCA 1,5t",3,4,0.10695494012639704,0.091,0.015954940126397046
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,2,3,0.11659160170902816,0.10266666666666667,0.013924935042361489
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,47,70,0.09814265326400368,0.07,0.02814265326400367
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,32,46,0.08777987001178149,0.075,0.012779870011781491
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,28,39,0.07933493111463129,0.07333333333333333,0.006001597781297954
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,70,104,0.08107711277026408,0.07533333333333334,0.005743779436930746
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,21,33,0.07821059893923782,0.079,7.894010607621821e-4
901-140-020-000,WINCHE MANUAL 1t,3,5,0.09872698723608811,0.09233333333333334,0.006393653902754773
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",18,23,0.12199847606719323,0.11766666666666667,0.004331809400526562
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,7,10,0.08849233061223058,0.07933333333333334,0.00915899727889724
424-100-020-015,"CINTA PLANA EE2-602 X 1,5m TIPO 3",35,52,0.09384786882559853,0.079,0.014847868825598534
901-140-010-000,"WINCHE MANUAL 0,5t",3,5,0.08180874320426854,0.07266666666666667,0.009142076537601865
901-140-050-000,WINCHE MANUAL 3t,2,3,0.1257489664098394,0.11933333333333333,0.006415633076506069
901-170-070-000,WINCHE DE PALANCA 9t,1,2,0,0,0
631-130-140-000,CONECTOR RAPIDO OVALADO ROSCADO 1,15,24,0.0810424849912346,0.071,0.010042484991234613
433-100-020-020,CINTA PLANA EE3-602 X 2m TIPO 3,17,26,0.08992114308667466,0.073,0.016921143086674667
694-190-020-000,ANCLA VERTICAL ARTICULADA 2t,3,4,0.10356753413239374,0.107,0.0034324658676062603
901-170-025-000,WINCHE DE PALANCA 1t,2,3,0.14842757057698533,0.13733333333333334,0.011094237243651994
442-100-040-060,CINTA PLANA EE4-604 X 6m TIPO 3,2,3,0.1460815988234003,0.13466666666666666,0.011414932156733643
433-100-020-060,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,8,11,0.08314887445170263,0.076,0.007148874451702633
901-170-020-000,"WINCHE DE PALANCA 0,75t",3,4,0.08696765346161661,0.091,0.004032346538383386
271-190-020-000,ANCLAJE SOLDABLE 3t,22,32,0.07961572281318074,0.07866666666666666,9.490561465140823e-4
433-100-020-080,CINTA PLANA EE3-602 X 8m TIPO 3,8,11,0.09604157429779976,0.09066666666666667,0.0053749076311330884
901-140-040-000,WINCHE MANUAL 2t,2,3,0.12728555138666903,0.12633333333333333,9.522180533357016e-4
334-100-030-000,CONECTOR GIRATORIO G8 8mm,30,43,0.08636441650234707,0.08133333333333333,0.005031083169013739
631-130-100-000,CONECTOR RAPIDO OVALADO ROSCADO 3/4,19,30,0.06880917123024413,0.06533333333333333,0.003475837896910805
433-100-020-015,"CINTA PLANA EE3-602 X 1,5m TIPO 3",13,19,0.08149786395700022,0.085,0.003502136042999787
739-110-012-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,2,3,0.1396288844524174,0.14333333333333334,0.0037044488809159504
613-450-040-000,MOSQUETON DE SEGURO CONECTOR G8 10mm,6,9,0.1044522168381952,0.096,0.008452216838195192
424-100-020-010,CINTA PLANA EE2-602 X 1m TIPO 3,18,29,0.07122394706609263,0.04033333333333333,0.030890613732759295
433-100-020-030,CINTA PLANA EE3-602 X 3m TIPO 3,8,11,0.08106975744330824,0.07133333333333333,0.009736424109974912
442-100-020-020,CINTA PLANA EE4-602 X 2m TIPO 3,8,12,0.08269608347031229,0.08566666666666667,0.002970583196354376
264-290-080-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,4,6,0.11735648958163936,0.08566666666666667,0.03168982291497269
289-110-230-000,CARRO PORTA WINCHE DE ARRASTRE 2t,2,3,0.0966501782506149,0.09466666666666666,0.0019835115839482304
631-130-120-000,CONECTOR RAPIDO OVALADO ROSCADO 7/8,13,20,0.07651999284582006,0.077,4.800071541799372e-4
424-100-030-030,CINTA PLANA EE2-603 X 3m TIPO 3,6,9,0.05960909829634538,0.06666666666666667,0.007057568370321288
442-100-020-015,"CINTA PLANA EE4-602 X 1,5m TIPO 3",19,24,0.08933735580136702,0.084,0.005337355801367016
541-120-002-030,CINTA TUBULAR EE 2t X 3m,7,9,0.11761757097210292,0.12433333333333334,0.006715762361230421
613-460-040-000,MOSQUETON DE SEGURO GIRATORIO G8 10mm,5,7,0.03173838830709225,0.03233333333333333,5.949450262410852e-4
