sku,descripcion,precio_unitario,K,h
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,205496.181372549,10909.992753623188,4109.92362745098
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,179286.29411764705,10909.992753623188,3585.725882352941
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,5009.927346938775,10909.992753623188,100.19854693877551
541-120-005-030,CINTA TUBULAR EE 5t X 3m,52607.379310344826,10909.992753623188,1052.1475862068964
271-190-040-000,ANCLAJE SOLDABLE 8t,30481.356020942407,10909.992753623188,609.6271204188481
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,257633.55813953487,10909.992753623188,5152.671162790698
901-170-060-000,WINCHE DE PALANCA 6t,281723.6451612903,10909.992753623188,5634.4729032258065
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,76920.26851851853,10909.992753623188,1538.4053703703705
541-120-003-020,CINTA TUBULAR EE 3t X 2m,22439.57878787879,10909.992753623188,448.7915757575758
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,235211.26666666666,10909.992753623188,4704.225333333334
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",18465.357798165136,10909.992753623188,369.3071559633027
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,42377.818181818184,10909.992753623188,847.5563636363637
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,376257,10909.992753623188,7525.14
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,18749.903846153848,10909.992753623188,374.99807692307695
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,210327.04347826086,10909.992753623188,4206.540869565218
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,19438.36763745592,10909.992753623188,388.76735274911846
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,63033.94366197183,10909.992753623188,1260.6788732394366
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,10323.764563106795,10909.992753623188,206.4752912621359
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,28343.353333333333,10909.992753623188,566.8670666666667
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,850004.2,10909.992753623188,17000.084
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,106743.28947368421,10909.992753623188,2134.8657894736843
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",26183.378571428573,10909.992753623188,523.6675714285715
901-170-030-000,"WINCHE DE PALANCA 1,5t",137177.34615384616,10909.992753623188,2743.546923076923
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,262338.0740740741,10909.992753623188,5246.761481481482
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,7754.023752969121,10909.992753623188,155.08047505938242
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,10734.851590106007,10909.992753623188,214.69703180212014
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,16255.464864864865,10909.992753623188,325.1092972972973
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,4595.0208,10909.992753623188,91.900416
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,13643.239024390245,10909.992753623188,272.8647804878049
901-140-020-000,WINCHE MANUAL 1t,90766.10714285714,10909.992753623188,1815.322142857143
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",27150.08791208791,10909.992753623188,543.0017582417582
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,50668.166666666664,10909.992753623188,1013.3633333333333
424-100-020-015,"CINTA PLANA EE2-602 X 1,5m TIPO 3",7940.304635761589,10909.992753623188,158.80609271523178
901-140-010-000,"WINCHE MANUAL 0,5t",84974,10909.992753623188,1699.48
901-140-050-000,WINCHE MANUAL 3t,152684.06666666668,10909.992753623188,3053.6813333333334
901-170-070-000,WINCHE DE PALANCA 9t,566758.25,10909.992753623188,11335.165
631-130-140-000,CONECTOR RAPIDO OVALADO ROSCADO 1,13757.42857142857,10909.992753623188,275.1485714285714
433-100-020-020,CINTA PLANA EE3-602 X 2m TIPO 3,13030.299401197604,10909.992753623188,260.6059880239521
694-190-020-000,ANCLA VERTICAL ARTICULADA 2t,111247.15789473684,10909.992753623188,2224.943157894737
901-170-025-000,WINCHE DE PALANCA 1t,107889.11111111111,10909.992753623188,2157.782222222222
442-100-040-060,CINTA PLANA EE4-604 X 6m TIPO 3,107774.66666666667,10909.992753623188,2155.4933333333333
433-100-020-060,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,33135.17543859649,10909.992753623188,662.7035087719298
901-170-020-000,"WINCHE DE PALANCA 0,75t",83648.31818181818,10909.992753623188,1672.9663636363637
271-190-020-000,ANCLAJE SOLDABLE 3t,9851.521978021978,10909.992753623188,197.03043956043956
433-100-020-080,CINTA PLANA EE3-602 X 8m TIPO 3,36829.729166666664,10909.992753623188,736.5945833333333
901-140-040-000,WINCHE MANUAL 2t,124807.5,10909.992753623188,2496.15
334-100-030-000,CONECTOR GIRATORIO G8 8mm,5887.1305841924395,10909.992753623188,117.74261168384879
631-130-100-000,CONECTOR RAPIDO OVALADO ROSCADO 3/4,7993.3448275862065,10909.992753623188,159.86689655172412
433-100-020-015,"CINTA PLANA EE3-602 X 1,5m TIPO 3",14230.59649122807,10909.992753623188,284.6119298245614
739-110-012-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,94348.375,10909.992753623188,1886.9675
613-450-040-000,MOSQUETON DE SEGURO CONECTOR G8 10mm,29107.392156862745,10909.992753623188,582.1478431372549
424-100-020-010,CINTA PLANA EE2-602 X 1m TIPO 3,7211.490099009901,10909.992753623188,144.22980198019803
433-100-020-030,CINTA PLANA EE3-602 X 3m TIPO 3,23245.467741935485,10909.992753623188,464.9093548387097
442-100-020-020,CINTA PLANA EE4-602 X 2m TIPO 3,22296.190476190477,10909.992753623188,445.92380952380955
264-290-080-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,45366.1,10909.992753623188,907.322
289-110-230-000,CARRO PORTA WINCHE DE ARRASTRE 2t,119003.09090909091,10909.992753623188,2380.061818181818
631-130-120-000,CONECTOR RAPIDO OVALADO ROSCADO 7/8,10740.666666666666,10909.992753623188,214.81333333333333
424-100-030-030,CINTA PLANA EE2-603 X 3m TIPO 3,21383.35,10909.992753623188,427.667
442-100-020-015,"CINTA PLANA EE4-602 X 1,5m TIPO 3",13247.78125,10909.992753623188,264.955625
541-120-002-030,CINTA TUBULAR EE 2t X 3m,32208.027027027027,10909.992753623188,644.1605405405405
613-460-040-000,MOSQUETON DE SEGURO GIRATORIO G8 10mm,36110.606060606064,10909.992753623188,722.2121212121212
901-170-010-000,"WINCHE DE PALANCA 0,5t",84374.57142857143,10909.992753623188,1687.4914285714287
298-110-060-000,CASQUILLO DE PRENSADO PARA CUERDA 3/4,2800.4048780487806,10909.992753623188,56.008097560975614
613-460-060-000,MOSQUETON DE SEGURO GIRATORIO G8 13mm,87075.53846153847,10909.992753623188,1741.5107692307695
264-280-070-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 1854 ALLOY STEEL,44250.68,10909.992753623188,885.0136
901-140-030-000,"WINCHE MANUAL 1,5t",109395.2,10909.992753623188,2187.904
613-260-080-000,MOSQUETON GIRATORIO 10t,100902.6,10909.992753623188,2018.0520000000001
424-100-020-030,CINTA PLANA EE2-602 X 3m TIPO 3,11548.941860465116,10909.992753623188,230.97883720930233
433-100-030-060,CINTA PLANA EE3-603 X 6m TIPO 3,34475.81481481482,10909.992753623188,689.5162962962963
928-110-010-000,"CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 4,5m",5813.761006289308,10909.992753623188,116.27522012578616
