sku,descripcion,costo_directo_unitario,costo_perdida_unitario,p
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,412.65121846627153,61648.854411764696,43277.99345377517
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,337.32194835394904,53785.888235294115,37751.318349212066
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,10.867985401793822,1502.9782040816326,1055.345138477681
541-120-005-030,CINTA TUBULAR EE 5t X 3m,239.93149739799193,15782.213793103447,11119.52910439181
271-190-040-000,ANCLAJE SOLDABLE 8t,181.15146812198105,9144.406806282721,6455.430204834498
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,988.7620596900111,77290.06744186046,54399.67582720932
901-170-060-000,WINCHE DE PALANCA 6t,1810.5086274314199,84517.09354838709,59705.11807210038
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,794.2271539039518,23076.080555555556,16391.524535060074
541-120-003-020,CINTA TUBULAR EE 3t X 2m,151.09786150587664,6731.873636363636,4757.640903906308
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,2831.694275012116,70563.37999999999,50243.874282503624
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",297.2112213553034,5539.607339449541,3966.8885040212695
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,372.00618022328547,12713.345454545455,9010.943672248803
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,4071.945156765328,112877.09999999999,80235.55354702959
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,458.67757951498135,5624.971153846154,4075.083081546802
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,3354.8248792907652,63098.11304347825,45175.126594222
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,170.36785239536457,5831.5102912367765,4133.167559584353
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,889.0572520711471,18910.183098591548,13503.845344635427
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,238.34767453381698,3097.1293689320387,2239.494860612572
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,338.7405975723789,8503.006,6053.726379271712
397-490-040-060,CINTA G8 QOSH4A 13mm X 6m,7014.973684210527,255001.25999999998,180605.37410526315
264-290-180-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2851 ALLOY STEEL,970.3934800124064,32022.986842105263,22707.208833477405
541-120-004-015,"CINTA TUBULAR EE 4t X 1,5m",250.53477443609023,7855.013571428572,5573.669932330828
901-170-030-000,"WINCHE DE PALANCA 1,5t",3287.6046136799923,41153.20384615385,29793.524076411686
264-240-160-000,CRAMPON 12 PUNTAS DOBLE CON ANTIBOTAS 4851 ALLOY STEEL,2623.905286228279,78701.42222222223,55878.16714142404
424-100-020-020,CINTA PLANA EE2-602 X 2m TIPO 3,283.2202999479291,2326.2071258907363,1713.311078107894
433-100-020-010,CINTA PLANA EE3-602 X 1m TIPO 3,395.55184867158096,3220.4554770318023,2372.984388523736
613-200-060-000,MOSQUETON CINTA DE ANCLAJE CONECTOR G8 13mm,324.08569667157224,4876.639459459459,3510.8733306230934
631-130-080-000,CONECTOR RAPIDO OVALADO ROSCADO 5/8,192.44480597718768,1378.50624,1022.6878097931562
424-100-020-040,CINTA PLANA EE2-602 X 4m TIPO 3,538.8867268025222,4092.971707317073,3026.7462131627076
901-140-020-000,WINCHE MANUAL 1t,2526.0311197000337,27229.832142857143,19818.69183591001
541-120-002-035,"CINTA TUBULAR EE 2t X 3,5m",308.3504916136495,8145.026373626373,5794.023609022555
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,1169.0960280421662,15200.449999999999,10991.043808412649
424-100-020-015,"CINTA PLANA EE2-602 X 1,5m TIPO 3",325.25176837030847,2382.0913907284767,1765.039504021026
