sku,descripcion,K,h,p,s_opt,S_opt,costo_opt,nivel_servicio_opt,cumple_objetivo
739-120-035-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 4t,10909.992753623188,4109.92362745098,43277.99345377517,24,28,101915.92097712985,0.9515371528423903,TRUE
739-110-014-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 4t,10909.992753623188,3585.725882352941,37751.318349212066,36,37,124824.76947851441,0.9520088910156661,TRUE
424-100-010-010,CINTA PLANA EE2-601 X 1m TIPO 3,10909.992753623188,100.19854693877551,1055.345138477681,2256,2303,230238.43437861695,0.9213292512093715,FALSE
541-120-005-030,CINTA TUBULAR EE 5t X 3m,10909.992753623188,1052.1475862068964,11119.52910439181,32,37,38178.4691933595,0.9550150292413827,TRUE
271-190-040-000,ANCLAJE SOLDABLE 8t,10909.992753623188,609.6271204188481,6455.430204834498,64,70,43325.27650336822,0.9519829518048135,TRUE
739-110-015-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 5t,10909.992753623188,5152.671162790698,54399.67582720932,18,20,100606.45494857366,0.9504698016658149,TRUE
901-170-060-000,WINCHE DE PALANCA 6t,10909.992753623188,5634.4729032258065,59705.11807210038,6,8,43928.643619905764,0.9553527606161136,TRUE
739-120-020-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 2t,10909.992753623188,1538.4053703703705,16391.524535060074,24,25,41971.45367620784,0.9518443115561963,TRUE
541-120-003-020,CINTA TUBULAR EE 3t X 2m,10909.992753623188,448.7915757575758,4757.640903906308,96,98,45936.73663930442,0.9527379096964051,TRUE
613-460-080-000,MOSQUETON DE SEGURO GIRATORIO G8 16mm,10909.992753623188,4704.225333333334,50243.874282503624,3,6,25803.55896722821,0.9540120474068418,TRUE
271-190-030-000,"ANCLAJE SOLDABLE 5,3t",10909.992753623188,369.3071559633027,3966.8885040212695,35,41,19185.84984710741,0.9526010927551952,TRUE
910-100-030-000,TENSOR CHICHARRA 1/2 - 5/8,10909.992753623188,847.5563636363637,9010.943672248803,18,25,22084.115088651168,0.9549015912763616,TRUE
613-460-100-000,MOSQUETON DE SEGURO GIRATORIO G8 20mm,10909.992753623188,7525.14,80235.55354702959,16,17,129659.87733319725,0.9502887695690394,TRUE
424-100-020-060,CINTA PLANA EE2-602 X 6m TIPO 3,10909.992753623188,374.99807692307695,4075.083081546802,20,37,15370.347502036884,0.9536990124901531,TRUE
739-120-030-000,POLEA DE RESCATE SIMPLE CON MOSQUETON 3t,10909.992753623188,4206.540869565218,45175.126594222,2,3,15863.645981330808,0.9688091768644711,TRUE
262-170-070-000,CUERDA G8 TRENZADO CORTO 13mm,10909.992753623188,388.76735274911846,4133.167559584353,48,53,21939.364666239755,0.9526647374170178,TRUE
264-290-100-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2828 ALLOY STEEL,10909.992753623188,1260.6788732394366,13503.845344635427,10,15,20116.964578087245,0.9523544310317342,TRUE
928-110-040-000,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 9m,10909.992753623188,206.4752912621359,2239.494860612572,36,62,14627.187910327213,0.9600484750021206,TRUE
910-100-020-000,TENSOR CHICHARRA 3/8 - 1/2,10909.992753623188,566.8670666666667,6053.726379271712,33,34,22507.034969826014,0.9508185231326052,TRUE
